【平均値】楽観（奇数行）,【平均値】悲観（偶数行）,研究ID番号,myBeat(デバイス),E4（リストバンド）,性別,年齢,【総得点】楽観（奇数行）,【総得点】悲観（偶数行）,自分の将来は，良いことが起こると思う,私の将来は，暗いと思う,将来，幸せになれると思う,望ましくない，未来の自分の姿ばかりを想像する,私は将来に対して，前向きに考えている,何もかもが悪い方向にしか進まないだろうと思う,自分の将来は，恵まれていると思う,私の望みは叶わないと思う,自分の将来に期待がもてる,自分の将来に絶望している,これからの人生は良いものになるだろうと思う,何かを計画する時，失敗している自分の姿が頭に浮かぶ,結果が予想できない時は，良い方向に期待する,何をしても，うまくいかないことばかりを想像する,私には，悪いことよりも良いことが起こると思う,結局，自分の目標は達成できないだろう,何かに取りかかる時は，成功するだろうと考える,今後のことを考えると，悪いことばかりが頭に浮かぶ,自分の将来を楽しみにしている,何かに取りかかる時は，失敗するだろうと考える
2.1,3,40,10011871,S/N:A04A7F,1:男性,33,21,30,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる
3.2,2.2,41,10011872,S/N:A04D52,1:男性,30,32,22,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない
3.8,1.1,43,10011926,S/N:A04CD0,2:女性,27,38,11,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない
3,2,44,10011927,S/N:A04C75,1:男性,52,30,20,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
3.1,2,45,10011928,S/N:A04A7E,1:男性,30,31,20,4:よくあてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,4:よくあてはまる,2:あてはまらない
2.3,2.4,46,10011929,S/N:A04CA6,1:男性,32,23,24,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,3:あてはまる,2:あてはまらない,2:あてはまらない
3.6,1.2,47,10011930,S/N:A040B1,2:女性,44,36,12,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,1:全く当てはまらない,1:全く当てはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない
3,1.6,48,10011931,S/N:A040B0,1:男性,44,30,16,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない
2.4,2.7,49,10011932,S/N:A03DA2,2:女性,41,24,27,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,3:あてはまる,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる
2.5,2.1,50,10011933,S/N:A04C92,1:男性,27,25,21,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,1:全く当てはまらない,2:あてはまらない
2.9,2.7,51,10011934,S/N:A0357D,2:女性,51,29,27,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,3:あてはまる,4:よくあてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる
3.8,2.6,52,10011935,S/N:A04D99,1:男性,46,38,26,4:よくあてはまる,4:よくあてはまる,4:よくあてはまる,4:よくあてはまる,4:よくあてはまる,4:よくあてはまる,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない
2.8,2.1,54,10011937,S/N:A03C67,2:女性,25,28,21,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない
3,2.1,55,10011938,S/N:A04D7E,1:男性,27,30,21,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる
3,2,56,10011939,S/N:A04A53,2:女性,30,30,20,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
2,3.6,57,10011940,S/N:A04A13,1:男性,27,20,36,2:あてはまらない,3:あてはまる,1:全く当てはまらない,4:よくあてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,4:よくあてはまる,4:よくあてはまる,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,4:よくあてはまる,3:あてはまる,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,1:全く当てはまらない,3:あてはまる
3.3,2,58,10011941,S/N:A04A8F,2:女性,31,33,20,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,4:よくあてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
2.9,2.1,59,10011942,S/N:A04B83,2:女性,50,29,21,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,2:あてはまらない,2:あてはまらない,3:あてはまる,2:あてはまらない
3,2,60,10011943,S/N:A04AC8,2:女性,26,30,20,4:よくあてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,3:あてはまる,2:あてはまらない,2:あてはまらない,3:あてはまる,1:全く当てはまらない,3:あてはまる,2:あてはまらない,3:あてはまる,2:あてはまらない
